,agent,task,seed,frame,episode_reward,hour
0,DrQ-v2,pendulum_swingup,1,0,0.2,1.6917785008748334e-06
1,DrQ-v2,pendulum_swingup,1,20000,5.5,0.06972820679346721
2,DrQ-v2,pendulum_swingup,1,40000,12.3,0.12896764437357586
3,DrQ-v2,pendulum_swingup,1,60000,34.2,0.18747496512201098
4,DrQ-v2,pendulum_swingup,1,80000,663.6,0.24595649520556132
5,DrQ-v2,pendulum_swingup,1,100000,448.5,0.3048108951912986
6,DrQ-v2,pendulum_swingup,1,120000,875.3,0.3729845772186915
7,DrQ-v2,pendulum_swingup,1,140000,875.3,0.4324599960777495
8,DrQ-v2,pendulum_swingup,1,160000,871.9,0.491861590411928
9,DrQ-v2,pendulum_swingup,1,180000,838.2,0.5512960364421209
10,DrQ-v2,pendulum_swingup,1,200000,801.5,0.6111335791481867
11,DrQ-v2,pendulum_swingup,1,220000,834.7,0.6698514604568482
12,DrQ-v2,pendulum_swingup,1,240000,843.7,0.7288576868507597
13,DrQ-v2,pendulum_swingup,1,260000,853.8,0.7879531028535631
14,DrQ-v2,pendulum_swingup,1,280000,849.9,0.8466783604356978
15,DrQ-v2,pendulum_swingup,1,300000,852.9,0.9053122001224094
16,DrQ-v2,pendulum_swingup,1,320000,868.1,0.9638544143570794
17,DrQ-v2,pendulum_swingup,1,340000,815.3,1.022918969988823
18,DrQ-v2,pendulum_swingup,1,360000,849.7,1.1002470429738362
19,DrQ-v2,pendulum_swingup,1,380000,797.7,1.1649004754092958
20,DrQ-v2,pendulum_swingup,1,400000,821.5,1.2238671694861518
21,DrQ-v2,pendulum_swingup,1,420000,842.4,1.2825563862588671
22,DrQ-v2,pendulum_swingup,1,440000,808.5,1.34134218149715
23,DrQ-v2,pendulum_swingup,1,460000,888.2,1.4002965519825616
24,DrQ-v2,pendulum_swingup,1,480000,877.7,1.459445795416832
25,DrQ-v2,pendulum_swingup,1,500000,858.5,1.5185650293694601
26,DrQ-v2,pendulum_swingup,1,520000,831.2,1.5772901869482465
27,DrQ-v2,pendulum_swingup,1,540000,845.6,1.6358750986390644
28,DrQ-v2,pendulum_swingup,1,560000,837.3,1.6941652381420136
29,DrQ-v2,pendulum_swingup,1,580000,858.7,1.7528224391407436
30,DrQ-v2,pendulum_swingup,1,600000,807.7,1.811861660612954
31,DrQ-v2,pendulum_swingup,1,620000,843.3,1.8703427962462107
32,DrQ-v2,pendulum_swingup,1,640000,859.3,1.9293899197710884
33,DrQ-v2,pendulum_swingup,1,660000,798.6,1.9883780499299368
34,DrQ-v2,pendulum_swingup,1,680000,866.9,2.047522413134575
