,agent,task,seed,frame,episode_reward,hour
0,DrQ-v2,hopper_stand,1,0,3.1933382977161178,1.6827053493923611e-06
1,DrQ-v2,hopper_stand,1,20000,6.560002527235332,0.04884530285994212
2,DrQ-v2,hopper_stand,1,40000,5.6000003123283095,0.10547730922698975
3,DrQ-v2,hopper_stand,1,60000,4.08000012159346,0.16274491628011067
4,DrQ-v2,hopper_stand,1,80000,7.280000032186505,0.21960603574911752
5,DrQ-v2,hopper_stand,1,100000,1.067181261872968,0.276876818868849
6,DrQ-v2,hopper_stand,1,120000,14.765216542944373,0.33377317561043635
7,DrQ-v2,hopper_stand,1,140000,11.13864433257848,0.3906838856803047
8,DrQ-v2,hopper_stand,1,160000,12.846970885755995,0.4478961462444729
9,DrQ-v2,hopper_stand,1,180000,20.353540089772736,0.5051860249042511
10,DrQ-v2,hopper_stand,1,200000,110.87361123443613,0.562318215502633
11,DrQ-v2,hopper_stand,1,220000,49.87366882146066,0.6196787169906828
12,DrQ-v2,hopper_stand,1,240000,186.92535081835945,0.677785754137569
13,DrQ-v2,hopper_stand,1,260000,308.7552038306196,0.7355738857719634
14,DrQ-v2,hopper_stand,1,280000,272.6337093933315,0.7934819065862232
15,DrQ-v2,hopper_stand,1,300000,458.66604227291873,0.8508346176147461
16,DrQ-v2,hopper_stand,1,320000,491.9107080891811,0.9080938786268234
17,DrQ-v2,hopper_stand,1,340000,275.4381889244129,0.9654285088512634
18,DrQ-v2,hopper_stand,1,360000,538.385129142179,1.022743832733896
19,DrQ-v2,hopper_stand,1,380000,569.3786402195688,1.0798627095090019
20,DrQ-v2,hopper_stand,1,400000,624.1174364548203,1.1367178813616436
21,DrQ-v2,hopper_stand,1,420000,429.55911456381983,1.1936747311883502
22,DrQ-v2,hopper_stand,1,440000,444.9493088009687,1.251073390510347
23,DrQ-v2,hopper_stand,1,460000,672.4267907550204,1.3085267813338173
24,DrQ-v2,hopper_stand,1,480000,598.1756285228153,1.3664665926827324
25,DrQ-v2,hopper_stand,1,500000,750.357942310826,1.4256711112790637
26,DrQ-v2,hopper_stand,1,520000,724.2048232213308,1.4841019634405772
27,DrQ-v2,hopper_stand,1,540000,741.4027239410748,1.5428553924295638
28,DrQ-v2,hopper_stand,1,560000,735.331401305996,1.6010029553042517
29,DrQ-v2,hopper_stand,1,580000,662.5959510886735,1.6594566461112765
30,DrQ-v2,hopper_stand,1,600000,793.1042234702196,1.7175481308168834
31,DrQ-v2,hopper_stand,1,620000,597.1442075927272,1.7761961362096998
32,DrQ-v2,hopper_stand,1,640000,792.2430829166583,1.8350254586670134
33,DrQ-v2,hopper_stand,1,660000,817.0671905442556,1.8922067770030764
34,DrQ-v2,hopper_stand,1,680000,850.3910588924009,1.9495831072330474
35,DrQ-v2,hopper_stand,1,700000,873.3555583780222,2.007624897427029
36,DrQ-v2,hopper_stand,1,720000,863.8036549094056,2.0652163283692464
37,DrQ-v2,hopper_stand,1,740000,849.9850677108132,2.122902466389868
38,DrQ-v2,hopper_stand,1,760000,913.919040033152,2.1808777580658596
39,DrQ-v2,hopper_stand,1,780000,892.3620998938437,2.2389402069648106
40,DrQ-v2,hopper_stand,1,800000,852.4100046154102,2.297339785165257
41,DrQ-v2,hopper_stand,1,820000,895.0801934243336,2.355912155840132
42,DrQ-v2,hopper_stand,1,840000,801.415538242921,2.4143895172410543
43,DrQ-v2,hopper_stand,1,860000,846.7897853112079,2.4729447674751284
44,DrQ-v2,hopper_stand,1,880000,730.9002885666252,2.531495573719342
45,DrQ-v2,hopper_stand,1,900000,912.3204670325208,2.590166779292954
46,DrQ-v2,hopper_stand,1,920000,910.2672042079572,2.6478191667132913
47,DrQ-v2,hopper_stand,1,940000,909.4280523224586,2.7064108293586306
48,DrQ-v2,hopper_stand,1,960000,904.0666774702112,2.7649419586526025
49,DrQ-v2,hopper_stand,1,980000,907.6921944129348,2.824260192049874
0,DrQ-v2,hopper_stand,2,0,4.399465071582657,1.5411112043592501e-06
1,DrQ-v2,hopper_stand,2,20000,2.3200000220537182,0.050574043525589835
2,DrQ-v2,hopper_stand,2,40000,0.5599999999999999,0.1087299746937222
3,DrQ-v2,hopper_stand,2,60000,4.6400000000000015,0.16647991571161483
4,DrQ-v2,hopper_stand,2,80000,0.9600004595499764,0.22396244201395246
5,DrQ-v2,hopper_stand,2,100000,24.906911199840803,0.28169621215926277
6,DrQ-v2,hopper_stand,2,120000,96.72136915496728,0.3391529293855031
7,DrQ-v2,hopper_stand,2,140000,277.24658350231016,0.39585299869378415
8,DrQ-v2,hopper_stand,2,160000,734.9252601604795,0.45176123665438755
9,DrQ-v2,hopper_stand,2,180000,597.4773874303527,0.5080864221519893
10,DrQ-v2,hopper_stand,2,200000,812.3425642797299,0.5642114135954115
11,DrQ-v2,hopper_stand,2,220000,807.2223912067045,0.621056265367402
12,DrQ-v2,hopper_stand,2,240000,846.4273798656644,0.6776990009678735
13,DrQ-v2,hopper_stand,2,260000,930.199732460311,0.7343708996640311
14,DrQ-v2,hopper_stand,2,280000,884.0842335475543,0.7910602135790719
