,agent,task,seed,frame,episode_reward,hour
0,DrQ-v2,finger_spin,1,0,0.0,1.4277961519029166e-06
1,DrQ-v2,finger_spin,1,20000,109.4,0.048329380750656126
2,DrQ-v2,finger_spin,1,40000,372.2,0.10531359977192349
3,DrQ-v2,finger_spin,1,60000,313.1,0.16221743610170153
4,DrQ-v2,finger_spin,1,80000,502.1,0.21921507053905062
5,DrQ-v2,finger_spin,1,100000,518.3,0.275871681438552
6,DrQ-v2,finger_spin,1,120000,577.7,0.3328539715872871
7,DrQ-v2,finger_spin,1,140000,566.8,0.3888560338815053
8,DrQ-v2,finger_spin,1,160000,581.8,0.44590243776639304
9,DrQ-v2,finger_spin,1,180000,592.1,0.5039239552948211
10,DrQ-v2,finger_spin,1,200000,642.5,0.5613285730282467
11,DrQ-v2,finger_spin,1,220000,676.7,0.6187452573908699
12,DrQ-v2,finger_spin,1,240000,710.0,0.6773050063848496
13,DrQ-v2,finger_spin,1,260000,722.3,0.7352182253864077
14,DrQ-v2,finger_spin,1,280000,771.3,0.7921362423234516
15,DrQ-v2,finger_spin,1,300000,763.6,0.849558051692115
16,DrQ-v2,finger_spin,1,320000,777.4,0.9056956415043936
17,DrQ-v2,finger_spin,1,340000,789.0,0.962288710474968
18,DrQ-v2,finger_spin,1,360000,755.5,1.0192928790383868
19,DrQ-v2,finger_spin,1,380000,818.1,1.076597870257166
20,DrQ-v2,finger_spin,1,400000,858.6,1.1343002220657137
21,DrQ-v2,finger_spin,1,420000,830.1,1.1918202480342652
22,DrQ-v2,finger_spin,1,440000,854.7,1.2494303282764223
23,DrQ-v2,finger_spin,1,460000,860.8,1.3078381632433997
24,DrQ-v2,finger_spin,1,480000,861.2,1.365574452413453
25,DrQ-v2,finger_spin,1,500000,859.6,1.4238942248953714
26,DrQ-v2,finger_spin,1,520000,864.7,1.4820386984613207
27,DrQ-v2,finger_spin,1,540000,862.8,1.540392281015714
28,DrQ-v2,finger_spin,1,560000,861.9,1.598331735200352
29,DrQ-v2,finger_spin,1,580000,859.1,1.6561947702036963
30,DrQ-v2,finger_spin,1,600000,861.5,1.71470757510927
31,DrQ-v2,finger_spin,1,620000,863.3,1.772994536028968
32,DrQ-v2,finger_spin,1,640000,863.6,1.831823178993331
33,DrQ-v2,finger_spin,1,660000,858.4,1.889642962217331
34,DrQ-v2,finger_spin,1,680000,861.7,1.9493671941757202
35,DrQ-v2,finger_spin,1,700000,865.8,2.006485581861602
36,DrQ-v2,finger_spin,1,720000,861.4,2.0638031655550004
37,DrQ-v2,finger_spin,1,740000,860.3,2.1213596755928465
38,DrQ-v2,finger_spin,1,760000,862.4,2.177970037592782
39,DrQ-v2,finger_spin,1,780000,862.0,2.234060981472333
40,DrQ-v2,finger_spin,1,800000,861.5,2.2910718286037444
41,DrQ-v2,finger_spin,1,820000,867.3,2.3483037889003753
42,DrQ-v2,finger_spin,1,840000,863.8,2.4069673954115975
43,DrQ-v2,finger_spin,1,860000,861.3,2.4640821560223896
44,DrQ-v2,finger_spin,1,880000,864.2,2.5207651400566102
45,DrQ-v2,finger_spin,1,900000,862.2,2.5786443861987856
46,DrQ-v2,finger_spin,1,920000,863.4,2.6368226227495404
47,DrQ-v2,finger_spin,1,940000,861.1,2.6937330925464633
48,DrQ-v2,finger_spin,1,960000,863.1,2.7510631242725583
49,DrQ-v2,finger_spin,1,980000,868.1,2.8084864838255776
0,DrQ-v2,finger_spin,2,0,0.0,1.6846259435017778e-06
1,DrQ-v2,finger_spin,2,20000,2.5,0.04760229223304325
2,DrQ-v2,finger_spin,2,40000,364.1,0.10370485027631124
3,DrQ-v2,finger_spin,2,60000,478.2,0.15897934436798095
4,DrQ-v2,finger_spin,2,80000,538.4,0.21443850490781996
5,DrQ-v2,finger_spin,2,100000,579.1,0.2703092459175322
6,DrQ-v2,finger_spin,2,120000,653.1,0.32598143842485217
7,DrQ-v2,finger_spin,2,140000,669.3,0.38265705221229135
8,DrQ-v2,finger_spin,2,160000,719.3,0.4384957288371192
9,DrQ-v2,finger_spin,2,180000,714.5,0.49445682174629635
10,DrQ-v2,finger_spin,2,200000,793.8,0.5505018203788333
11,DrQ-v2,finger_spin,2,220000,815.5,0.6068556774324841
12,DrQ-v2,finger_spin,2,240000,828.7,0.663195366329617
13,DrQ-v2,finger_spin,2,260000,864.4,0.7189894422557619
14,DrQ-v2,finger_spin,2,280000,874.0,0.7757829508516524
15,DrQ-v2,finger_spin,2,300000,840.7,0.8324814116292529
16,DrQ-v2,finger_spin,2,320000,931.9,0.8868790149026446
17,DrQ-v2,finger_spin,2,340000,906.0,0.9415845054388047
18,DrQ-v2,finger_spin,2,360000,949.2,0.9972569050391514
19,DrQ-v2,finger_spin,2,380000,913.0,1.0523491536246405
20,DrQ-v2,finger_spin,2,400000,930.7,1.1087461644411087
21,DrQ-v2,finger_spin,2,420000,931.1,1.1643870096736484
22,DrQ-v2,finger_spin,2,440000,918.0,1.2212283145719105
23,DrQ-v2,finger_spin,2,460000,926.9,1.2778279129664103
24,DrQ-v2,finger_spin,2,480000,919.6,1.3343626285261578
25,DrQ-v2,finger_spin,2,500000,918.6,1.390726770427492
26,DrQ-v2,finger_spin,2,520000,923.4,1.4468039172225529
27,DrQ-v2,finger_spin,2,540000,902.7,1.503306402762731
28,DrQ-v2,finger_spin,2,560000,878.7,1.5594078175889121
29,DrQ-v2,finger_spin,2,580000,885.7,1.616130667395062
30,DrQ-v2,finger_spin,2,600000,930.3,1.6721850411759482
31,DrQ-v2,finger_spin,2,620000,921.5,1.7281912212239372
32,DrQ-v2,finger_spin,2,640000,925.2,1.783624343276024
33,DrQ-v2,finger_spin,2,660000,926.4,1.8399880647659301
34,DrQ-v2,finger_spin,2,680000,955.9,1.8959091343482335
35,DrQ-v2,finger_spin,2,700000,937.0,1.9507095449500613
36,DrQ-v2,finger_spin,2,720000,923.8,2.0068114607863956
37,DrQ-v2,finger_spin,2,740000,938.8,2.0626001913017697
38,DrQ-v2,finger_spin,2,760000,944.7,2.1181949939992695
39,DrQ-v2,finger_spin,2,780000,950.7,2.1743567374679778
40,DrQ-v2,finger_spin,2,800000,935.5,2.231146127118005
41,DrQ-v2,finger_spin,2,820000,943.6,2.287335060503748
42,DrQ-v2,finger_spin,2,840000,927.1,2.3440085806449256
43,DrQ-v2,finger_spin,2,860000,968.4,2.3999152833885615
44,DrQ-v2,finger_spin,2,880000,933.9,2.456163340608279
45,DrQ-v2,finger_spin,2,900000,957.0,2.511940352188217
46,DrQ-v2,finger_spin,2,920000,935.8,2.568170851402812
47,DrQ-v2,finger_spin,2,940000,933.0,2.624570317334599
48,DrQ-v2,finger_spin,2,960000,951.0,2.6801237530178494
49,DrQ-v2,finger_spin,2,980000,954.8,2.735291711423132
0,DrQ-v2,finger_spin,3,0,0.0,2.1776888105604167e-06
1,DrQ-v2,finger_spin,3,20000,2.7,0.04799048615826501
