,agent,task,seed,frame,episode_reward,hour
0,DrQ-v2,cartpole_balance,1,0,389.184751405238,1.5662113825480002e-06
1,DrQ-v2,cartpole_balance,1,20000,135.5469834984885,0.04616727656788296
2,DrQ-v2,cartpole_balance,1,40000,738.0047754169483,0.09944950997829437
3,DrQ-v2,cartpole_balance,1,60000,962.7501257922828,0.153960632748074
4,DrQ-v2,cartpole_balance,1,80000,991.5187165401428,0.21039512627654605
5,DrQ-v2,cartpole_balance,1,100000,988.8542884357992,0.2672536035378774
6,DrQ-v2,cartpole_balance,1,120000,984.2135523927732,0.32410418185922835
7,DrQ-v2,cartpole_balance,1,140000,985.4486868225324,0.38118767976760864
8,DrQ-v2,cartpole_balance,1,160000,983.316191058495,0.43766205814149645
9,DrQ-v2,cartpole_balance,1,180000,979.018792282536,0.49417182915740543
10,DrQ-v2,cartpole_balance,1,200000,933.3389032321204,0.5503287195497089
11,DrQ-v2,cartpole_balance,1,220000,971.943188029946,0.6068453519211875
12,DrQ-v2,cartpole_balance,1,240000,975.4891503159896,0.6635500905248853
13,DrQ-v2,cartpole_balance,1,260000,966.6939649022448,0.7198505117495856
14,DrQ-v2,cartpole_balance,1,280000,964.3444401296916,0.7766762251324125
15,DrQ-v2,cartpole_balance,1,300000,968.4078723896744,0.8331720966100693
16,DrQ-v2,cartpole_balance,1,320000,979.9739455633282,0.8900765598482556
17,DrQ-v2,cartpole_balance,1,340000,977.5429985513344,0.9468675944540236
18,DrQ-v2,cartpole_balance,1,360000,981.1490324906448,1.0040957107808857
19,DrQ-v2,cartpole_balance,1,380000,980.6675474376108,1.0609191227621502
20,DrQ-v2,cartpole_balance,1,400000,976.6043321919836,1.1178334902392493
21,DrQ-v2,cartpole_balance,1,420000,983.6671858890182,1.1747826231850518
22,DrQ-v2,cartpole_balance,1,440000,991.4893635703612,1.231484636200799
23,DrQ-v2,cartpole_balance,1,460000,982.461319668524,1.2883870440059237
24,DrQ-v2,cartpole_balance,1,480000,983.6053274999272,1.344953296714359
25,DrQ-v2,cartpole_balance,1,500000,992.273687065024,1.4019890068637
26,DrQ-v2,cartpole_balance,1,520000,979.1168541069426,1.4586560453971227
27,DrQ-v2,cartpole_balance,1,540000,995.5165662326552,1.5161205652025012
28,DrQ-v2,cartpole_balance,1,560000,986.090805939303,1.5724035968383154
29,DrQ-v2,cartpole_balance,1,580000,988.4317816125542,1.6286706643634372
30,DrQ-v2,cartpole_balance,1,600000,991.016547790494,1.685474979877472
31,DrQ-v2,cartpole_balance,1,620000,985.23059933507,1.742042046851582
32,DrQ-v2,cartpole_balance,1,640000,989.4492557448052,1.7984437221950955
33,DrQ-v2,cartpole_balance,1,660000,991.561409848634,1.8543190183242162
34,DrQ-v2,cartpole_balance,1,680000,983.9187890435207,1.906534714963701
35,DrQ-v2,cartpole_balance,1,700000,979.5850867857968,1.95990826037195
36,DrQ-v2,cartpole_balance,1,720000,986.3274782836748,2.0201645947827234
37,DrQ-v2,cartpole_balance,1,740000,994.1407739304271,2.0806369527843263
38,DrQ-v2,cartpole_balance,1,760000,995.9195090594912,2.1412517221106424
39,DrQ-v2,cartpole_balance,1,780000,993.6640838126244,2.201755087773005
