,agent,task,seed,frame,episode_reward,hour
0,DrQ-v2,reacher_easy,1,0,12.1,1.3295809427896946e-06
1,DrQ-v2,reacher_easy,1,20000,145.3,0.05287408848603566
2,DrQ-v2,reacher_easy,1,40000,98.9,0.11515375349256728
3,DrQ-v2,reacher_easy,1,60000,242.2,0.17746353427569073
4,DrQ-v2,reacher_easy,1,80000,570.1,0.24164319548341964
5,DrQ-v2,reacher_easy,1,100000,483.8,0.30723459117942387
6,DrQ-v2,reacher_easy,1,120000,219.4,0.3727699065208435
7,DrQ-v2,reacher_easy,1,140000,381.7,0.4380995993481742
8,DrQ-v2,reacher_easy,1,160000,198.6,0.5035258832905027
9,DrQ-v2,reacher_easy,1,180000,392.2,0.568783306479454
10,DrQ-v2,reacher_easy,1,200000,397.3,0.6342390594879787
11,DrQ-v2,reacher_easy,1,220000,424.6,0.6996125016609828
12,DrQ-v2,reacher_easy,1,240000,378.7,0.7650490194559098
13,DrQ-v2,reacher_easy,1,260000,433.2,0.8305549745427236
14,DrQ-v2,reacher_easy,1,280000,495.6,0.8960164031717512
15,DrQ-v2,reacher_easy,1,300000,395.7,0.961590077413453
16,DrQ-v2,reacher_easy,1,320000,390.4,1.0268440668450463
17,DrQ-v2,reacher_easy,1,340000,700.6,1.0919643776284325
18,DrQ-v2,reacher_easy,1,360000,833.1,1.1572493472364214
19,DrQ-v2,reacher_easy,1,380000,740.9,1.222669348584281
20,DrQ-v2,reacher_easy,1,400000,782.0,1.2877632307344014
21,DrQ-v2,reacher_easy,1,420000,618.1,1.3528878060976663
22,DrQ-v2,reacher_easy,1,440000,591.5,1.4183581542306476
23,DrQ-v2,reacher_easy,1,460000,974.1,1.483751075334019
24,DrQ-v2,reacher_easy,1,480000,778.0,1.5488214877578947
25,DrQ-v2,reacher_easy,1,500000,959.4,1.613679175509347
26,DrQ-v2,reacher_easy,1,520000,766.7,1.679148977862464
27,DrQ-v2,reacher_easy,1,540000,968.8,1.7443465110328464
28,DrQ-v2,reacher_easy,1,560000,785.3,1.809798781408204
29,DrQ-v2,reacher_easy,1,580000,974.3,1.8747830003499986
30,DrQ-v2,reacher_easy,1,600000,869.5,1.9398648674620522
31,DrQ-v2,reacher_easy,1,620000,969.9,2.0049937151538
32,DrQ-v2,reacher_easy,1,640000,978.1,2.0703002532985475
33,DrQ-v2,reacher_easy,1,660000,878.6,2.1354793900913664
34,DrQ-v2,reacher_easy,1,680000,877.9,2.200632058183352
35,DrQ-v2,reacher_easy,1,700000,975.3,2.265911103685697
