,agent,task,seed,frame,episode_reward,hour
0,DrQ-v2,cup_catch,1,0,0.0,1.510646608140722e-06
1,DrQ-v2,cup_catch,1,20000,81.6,0.04975203732649485
2,DrQ-v2,cup_catch,1,40000,411.0,0.10843360655837589
3,DrQ-v2,cup_catch,1,60000,54.3,0.16745093868838415
4,DrQ-v2,cup_catch,1,80000,0.0,0.226160063346227
5,DrQ-v2,cup_catch,1,100000,727.4,0.2853603082895279
6,DrQ-v2,cup_catch,1,120000,611.0,0.34388439370526214
7,DrQ-v2,cup_catch,1,140000,705.8,0.40272076202763457
8,DrQ-v2,cup_catch,1,160000,742.9,0.4611096215910382
9,DrQ-v2,cup_catch,1,180000,834.9,0.519620428416464
10,DrQ-v2,cup_catch,1,200000,946.8,0.5782487654685974
11,DrQ-v2,cup_catch,1,220000,952.4,0.6371705227428013
12,DrQ-v2,cup_catch,1,240000,972.3,0.6959523408280479
13,DrQ-v2,cup_catch,1,260000,953.0,0.7547053713268704
14,DrQ-v2,cup_catch,1,280000,960.2,0.8135324569543203
15,DrQ-v2,cup_catch,1,300000,968.3,0.8719185501999325
16,DrQ-v2,cup_catch,1,320000,959.2,0.9309750006596247
17,DrQ-v2,cup_catch,1,340000,949.3,0.9901841449075275
18,DrQ-v2,cup_catch,1,360000,965.4,1.049449290368292
19,DrQ-v2,cup_catch,1,380000,976.9,1.1082425065835317
20,DrQ-v2,cup_catch,1,400000,971.7,1.1667738388644324
21,DrQ-v2,cup_catch,1,420000,962.2,1.2254685999949773
22,DrQ-v2,cup_catch,1,440000,961.4,1.284403203063541
23,DrQ-v2,cup_catch,1,460000,963.2,1.3431231702036328
24,DrQ-v2,cup_catch,1,480000,963.2,1.401822732620769
25,DrQ-v2,cup_catch,1,500000,969.5,1.4603953156206342
26,DrQ-v2,cup_catch,1,520000,961.1,1.5191820918189154
27,DrQ-v2,cup_catch,1,540000,944.9,1.578068005707529
28,DrQ-v2,cup_catch,1,560000,965.4,1.636453556617101
29,DrQ-v2,cup_catch,1,580000,966.1,1.6953541648387909
30,DrQ-v2,cup_catch,1,600000,963.4,1.754109348124928
31,DrQ-v2,cup_catch,1,620000,958.5,1.8133008788029352
32,DrQ-v2,cup_catch,1,640000,969.0,1.872251768377092
33,DrQ-v2,cup_catch,1,660000,974.1,1.930567168659634
34,DrQ-v2,cup_catch,1,680000,980.8,1.9894221607181761
35,DrQ-v2,cup_catch,1,700000,970.1,2.048555768198437
36,DrQ-v2,cup_catch,1,720000,963.4,2.107340024511019
37,DrQ-v2,cup_catch,1,740000,978.7,2.166419877807299
38,DrQ-v2,cup_catch,1,760000,964.6,2.225475000871552
39,DrQ-v2,cup_catch,1,780000,972.8,2.2847676563262937
40,DrQ-v2,cup_catch,1,800000,975.5,2.3438710374302336
41,DrQ-v2,cup_catch,1,820000,954.7,2.402675531241629
42,DrQ-v2,cup_catch,1,840000,973.9,2.4616248085101446
43,DrQ-v2,cup_catch,1,860000,964.1,2.520193663504389
44,DrQ-v2,cup_catch,1,880000,975.6,2.579066299531195
45,DrQ-v2,cup_catch,1,900000,978.9,2.6376871893141005
46,DrQ-v2,cup_catch,1,920000,961.6,2.6966925658782324
47,DrQ-v2,cup_catch,1,940000,974.1,2.755823463201523
48,DrQ-v2,cup_catch,1,960000,964.0,2.8138840121030806
49,DrQ-v2,cup_catch,1,980000,972.1,2.8726103160778678
0,DrQ-v2,cup_catch,2,0,0.0,2.0449691348605554e-06
1,DrQ-v2,cup_catch,2,20000,0.0,0.051898893581496346
2,DrQ-v2,cup_catch,2,40000,0.0,0.112054274280866
3,DrQ-v2,cup_catch,2,60000,0.0,0.17239791618453132
4,DrQ-v2,cup_catch,2,80000,98.8,0.2330663353867001
5,DrQ-v2,cup_catch,2,100000,99.2,0.293400096628401
6,DrQ-v2,cup_catch,2,120000,99.5,0.3537337632311715
7,DrQ-v2,cup_catch,2,140000,99.7,0.4141839449935489
8,DrQ-v2,cup_catch,2,160000,0.0,0.474653414355384
9,DrQ-v2,cup_catch,2,180000,0.0,0.5350508674648073
10,DrQ-v2,cup_catch,2,200000,179.5,0.5957041635778214
11,DrQ-v2,cup_catch,2,220000,98.8,0.6556586233112547
12,DrQ-v2,cup_catch,2,240000,198.7,0.7161160959800085
13,DrQ-v2,cup_catch,2,260000,98.1,0.7765654722187254
14,DrQ-v2,cup_catch,2,280000,207.5,0.8371090357833438
15,DrQ-v2,cup_catch,2,300000,208.1,0.897905272046725
16,DrQ-v2,cup_catch,2,320000,455.4,0.9587954109244876
17,DrQ-v2,cup_catch,2,340000,396.4,1.0195494023958842
18,DrQ-v2,cup_catch,2,360000,703.5,1.0803230020072725
19,DrQ-v2,cup_catch,2,380000,423.7,1.1408987449275123
20,DrQ-v2,cup_catch,2,400000,619.1,1.201361324654685
21,DrQ-v2,cup_catch,2,420000,508.8,1.2621107254425687
22,DrQ-v2,cup_catch,2,440000,198.5,1.3229343442784416
23,DrQ-v2,cup_catch,2,460000,198.1,1.383774159418212
24,DrQ-v2,cup_catch,2,480000,520.1,1.4445311264859306
25,DrQ-v2,cup_catch,2,500000,430.5,1.5051281556818221
26,DrQ-v2,cup_catch,2,520000,617.2,1.565444915095965
27,DrQ-v2,cup_catch,2,540000,784.7,1.625640119181739
28,DrQ-v2,cup_catch,2,560000,808.3,1.6864137611786525
29,DrQ-v2,cup_catch,2,580000,875.2,1.7468781741460164
30,DrQ-v2,cup_catch,2,600000,904.9,1.8072683642307916
31,DrQ-v2,cup_catch,2,620000,896.9,1.8679324654738108
32,DrQ-v2,cup_catch,2,640000,961.2,1.928144967953364
33,DrQ-v2,cup_catch,2,660000,920.2,1.993009430832333
34,DrQ-v2,cup_catch,2,680000,933.6,2.053404220475091
35,DrQ-v2,cup_catch,2,700000,943.2,2.113493479291598
36,DrQ-v2,cup_catch,2,720000,959.8,2.1738232843081158
37,DrQ-v2,cup_catch,2,740000,932.8,2.2374200624227525
38,DrQ-v2,cup_catch,2,760000,954.3,2.2979682154787913
39,DrQ-v2,cup_catch,2,780000,930.0,2.358417255944676
40,DrQ-v2,cup_catch,2,800000,946.4,2.4182152962022356
41,DrQ-v2,cup_catch,2,820000,936.1,2.481702470580737
42,DrQ-v2,cup_catch,2,840000,950.8,2.5418808190690148
43,DrQ-v2,cup_catch,2,860000,965.8,2.602746372818947
44,DrQ-v2,cup_catch,2,880000,956.0,2.6651530243953068
45,DrQ-v2,cup_catch,2,900000,961.9,2.725229557885064
46,DrQ-v2,cup_catch,2,920000,945.8,2.7855851262807847
47,DrQ-v2,cup_catch,2,940000,960.9,2.8470844130383597
48,DrQ-v2,cup_catch,2,960000,966.5,2.9066434662209617
49,DrQ-v2,cup_catch,2,980000,967.2,2.962937092648612
0,DrQ-v2,cup_catch,3,0,0.0,2.0349025726318334e-06
1,DrQ-v2,cup_catch,3,20000,98.9,0.05199616405698989
2,DrQ-v2,cup_catch,3,40000,0.0,0.1118605430920919
3,DrQ-v2,cup_catch,3,60000,181.0,0.17161461578475104
4,DrQ-v2,cup_catch,3,80000,197.1,0.23119129061698915
5,DrQ-v2,cup_catch,3,100000,198.0,0.29059705509079825
6,DrQ-v2,cup_catch,3,120000,99.5,0.35018545945485435
7,DrQ-v2,cup_catch,3,140000,365.4,0.41046721339225767
8,DrQ-v2,cup_catch,3,160000,291.6,0.4702383261256748
9,DrQ-v2,cup_catch,3,180000,529.1,0.5300880665911569
10,DrQ-v2,cup_catch,3,200000,470.1,0.589879665573438
11,DrQ-v2,cup_catch,3,220000,875.1,0.6500390390555064
12,DrQ-v2,cup_catch,3,240000,733.8,0.7096451219585207
13,DrQ-v2,cup_catch,3,260000,114.4,0.7695660683181551
14,DrQ-v2,cup_catch,3,280000,773.2,0.8296556226412455
15,DrQ-v2,cup_catch,3,300000,522.4,0.8895863400565254
16,DrQ-v2,cup_catch,3,320000,664.3,0.9507433094580969
17,DrQ-v2,cup_catch,3,340000,757.7,1.0111271667480468
18,DrQ-v2,cup_catch,3,360000,891.4,1.0711994604931938
19,DrQ-v2,cup_catch,3,380000,833.6,1.131599842508634
20,DrQ-v2,cup_catch,3,400000,946.5,1.1920337878333198
21,DrQ-v2,cup_catch,3,420000,928.4,1.2527314725849363
22,DrQ-v2,cup_catch,3,440000,904.9,1.3133503793345558
23,DrQ-v2,cup_catch,3,460000,936.9,1.3737072550588183
24,DrQ-v2,cup_catch,3,480000,938.2,1.4336130664745967
25,DrQ-v2,cup_catch,3,500000,946.6,1.4939212533500459
26,DrQ-v2,cup_catch,3,520000,943.1,1.5542426718605888
27,DrQ-v2,cup_catch,3,540000,915.2,1.6145251497957442
28,DrQ-v2,cup_catch,3,560000,930.2,1.6755111765199238
29,DrQ-v2,cup_catch,3,580000,939.9,1.7355090022087096
30,DrQ-v2,cup_catch,3,600000,949.1,1.796140996283955
31,DrQ-v2,cup_catch,3,620000,957.1,1.856526978082127
32,DrQ-v2,cup_catch,3,640000,975.9,1.9170480746693082
33,DrQ-v2,cup_catch,3,660000,963.3,1.9787775250938204
34,DrQ-v2,cup_catch,3,680000,966.8,2.038917576207055
35,DrQ-v2,cup_catch,3,700000,972.4,2.0987616987360846
36,DrQ-v2,cup_catch,3,720000,944.4,2.15928709242079
37,DrQ-v2,cup_catch,3,740000,974.3,2.21997023291058
38,DrQ-v2,cup_catch,3,760000,976.8,2.2826218999756707
39,DrQ-v2,cup_catch,3,780000,975.9,2.3429207375976775
40,DrQ-v2,cup_catch,3,800000,970.8,2.4032766269312966
41,DrQ-v2,cup_catch,3,820000,967.4,2.465472225679292
42,DrQ-v2,cup_catch,3,840000,971.9,2.5255121935076184
43,DrQ-v2,cup_catch,3,860000,953.7,2.5858022668626575
44,DrQ-v2,cup_catch,3,880000,971.1,2.6462330357233683
45,DrQ-v2,cup_catch,3,900000,968.6,2.7075234069426855
46,DrQ-v2,cup_catch,3,920000,967.9,2.7673871823814182
47,DrQ-v2,cup_catch,3,940000,964.0,2.828351024720404
48,DrQ-v2,cup_catch,3,960000,969.6,2.8875730923811593
49,DrQ-v2,cup_catch,3,980000,982.2,2.944996200866169
0,DrQ-v2,cup_catch,4,0,0.0,2.028346061706528e-06
1,DrQ-v2,cup_catch,4,20000,99.5,0.051036092109150354
2,DrQ-v2,cup_catch,4,40000,199.3,0.1104306458764606
3,DrQ-v2,cup_catch,4,60000,99.6,0.16991077807214525
4,DrQ-v2,cup_catch,4,80000,100.0,0.22923572957515717
5,DrQ-v2,cup_catch,4,100000,298.4,0.28868964274724324
6,DrQ-v2,cup_catch,4,120000,99.6,0.3478943273756239
7,DrQ-v2,cup_catch,4,140000,285.6,0.40740408817927043
8,DrQ-v2,cup_catch,4,160000,99.9,0.46699869169129266
9,DrQ-v2,cup_catch,4,180000,98.6,0.5263118043210772
10,DrQ-v2,cup_catch,4,200000,0.0,0.5857117364141676
11,DrQ-v2,cup_catch,4,220000,0.0,0.6449296002917819
12,DrQ-v2,cup_catch,4,240000,99.8,0.70438397122754
13,DrQ-v2,cup_catch,4,260000,99.5,0.7637666421466404
14,DrQ-v2,cup_catch,4,280000,595.8,0.8234641952647104
15,DrQ-v2,cup_catch,4,300000,389.2,0.8833835654126273
16,DrQ-v2,cup_catch,4,320000,115.3,0.9424865524636374
17,DrQ-v2,cup_catch,4,340000,481.9,1.001855975985527
18,DrQ-v2,cup_catch,4,360000,637.6,1.0614509824911753
19,DrQ-v2,cup_catch,4,380000,690.3,1.1211587121751574
20,DrQ-v2,cup_catch,4,400000,885.2,1.18029983845022
21,DrQ-v2,cup_catch,4,420000,745.0,1.2397745159599516
22,DrQ-v2,cup_catch,4,440000,621.2,1.2998804469241036
23,DrQ-v2,cup_catch,4,460000,851.9,1.3595301359891891
