,agent,task,seed,frame,episode_reward,hour
0,DrQ-v2,cartpole_swingup_sparse,1,0,0.0,1.3687213261921945e-06
1,DrQ-v2,cartpole_swingup_sparse,1,20000,0.0,0.039183525575531855
2,DrQ-v2,cartpole_swingup_sparse,1,40000,5.1,0.08483672387070126
3,DrQ-v2,cartpole_swingup_sparse,1,60000,38.7,0.13073867870701683
4,DrQ-v2,cartpole_swingup_sparse,1,80000,38.3,0.1766375533077452
5,DrQ-v2,cartpole_swingup_sparse,1,100000,158.1,0.22266497817304398
6,DrQ-v2,cartpole_swingup_sparse,1,120000,428.1,0.26823608140150706
7,DrQ-v2,cartpole_swingup_sparse,1,140000,632.8,0.31398561563756733
8,DrQ-v2,cartpole_swingup_sparse,1,160000,744.9,0.35999122732215455
9,DrQ-v2,cartpole_swingup_sparse,1,180000,751.1,0.4056386805905236
10,DrQ-v2,cartpole_swingup_sparse,1,200000,736.0,0.4512488555245929
11,DrQ-v2,cartpole_swingup_sparse,1,220000,753.9,0.4969115979803933
12,DrQ-v2,cartpole_swingup_sparse,1,240000,762.8,0.5424968113501867
13,DrQ-v2,cartpole_swingup_sparse,1,260000,763.4,0.5877065729432636
14,DrQ-v2,cartpole_swingup_sparse,1,280000,767.7,0.6333671403593487
15,DrQ-v2,cartpole_swingup_sparse,1,300000,766.6,0.6792852093113794
16,DrQ-v2,cartpole_swingup_sparse,1,320000,753.2,0.7249160182476045
17,DrQ-v2,cartpole_swingup_sparse,1,340000,767.7,0.77073909898599
18,DrQ-v2,cartpole_swingup_sparse,1,360000,764.8,0.8165233544508617
19,DrQ-v2,cartpole_swingup_sparse,1,380000,776.5,0.862631856335534
20,DrQ-v2,cartpole_swingup_sparse,1,400000,777.3,0.9082667881250381
21,DrQ-v2,cartpole_swingup_sparse,1,420000,775.2,0.9537901151842542
22,DrQ-v2,cartpole_swingup_sparse,1,440000,774.9,0.9996837058332233
23,DrQ-v2,cartpole_swingup_sparse,1,460000,773.4,1.045257117682033
24,DrQ-v2,cartpole_swingup_sparse,1,480000,769.8,1.0910105861557855
25,DrQ-v2,cartpole_swingup_sparse,1,500000,776.7,1.1368916435374155
26,DrQ-v2,cartpole_swingup_sparse,1,520000,777.3,1.1825595325893825
27,DrQ-v2,cartpole_swingup_sparse,1,540000,764.1,1.2286503689818913
28,DrQ-v2,cartpole_swingup_sparse,1,560000,766.4,1.2747936336861716
