,agent,task,seed,frame,episode_reward,hour
0,DrQ-v2,reacher_hard,1,0,0.0,1.533097691006111e-06
1,DrQ-v2,reacher_hard,1,20000,0.0,0.04308314495616489
2,DrQ-v2,reacher_hard,1,40000,4.5,0.09403673536247677
3,DrQ-v2,reacher_hard,1,60000,16.0,0.14484291560120052
4,DrQ-v2,reacher_hard,1,80000,0.2,0.19563793818155925
5,DrQ-v2,reacher_hard,1,100000,34.5,0.24644572178522745
6,DrQ-v2,reacher_hard,1,120000,8.2,0.2969893048869239
7,DrQ-v2,reacher_hard,1,140000,2.6,0.3471408567825953
8,DrQ-v2,reacher_hard,1,160000,10.7,0.3974848320749071
9,DrQ-v2,reacher_hard,1,180000,197.7,0.4476773320304023
10,DrQ-v2,reacher_hard,1,200000,207.5,0.49928582297431096
11,DrQ-v2,reacher_hard,1,220000,4.8,0.5506214697493447
12,DrQ-v2,reacher_hard,1,240000,96.0,0.6019580181439718
13,DrQ-v2,reacher_hard,1,260000,190.7,0.6530316189262602
14,DrQ-v2,reacher_hard,1,280000,198.5,0.7048744153314167
15,DrQ-v2,reacher_hard,1,300000,96.2,0.7579301601648331
16,DrQ-v2,reacher_hard,1,320000,258.4,0.8107181619273292
17,DrQ-v2,reacher_hard,1,340000,287.4,0.863766915268368
18,DrQ-v2,reacher_hard,1,360000,288.0,0.9169331219461229
19,DrQ-v2,reacher_hard,1,380000,202.0,0.9698924421601826
20,DrQ-v2,reacher_hard,1,400000,189.4,1.0224604498677783
21,DrQ-v2,reacher_hard,1,420000,390.0,1.0750076052215365
22,DrQ-v2,reacher_hard,1,440000,285.0,1.1274865027931003
23,DrQ-v2,reacher_hard,1,460000,484.5,1.1800320703453488
24,DrQ-v2,reacher_hard,1,480000,289.3,1.2322043689754274
25,DrQ-v2,reacher_hard,1,500000,670.4,1.2847433491547902
26,DrQ-v2,reacher_hard,1,520000,777.1,1.3371889738241831
27,DrQ-v2,reacher_hard,1,540000,197.3,1.3897483359442817
28,DrQ-v2,reacher_hard,1,560000,371.8,1.4421660506063037
29,DrQ-v2,reacher_hard,1,580000,431.9,1.494416955974367
30,DrQ-v2,reacher_hard,1,600000,579.9,1.5467185464832518
31,DrQ-v2,reacher_hard,1,620000,678.6,1.5990800962845484
32,DrQ-v2,reacher_hard,1,640000,583.7,1.6515884038474824
33,DrQ-v2,reacher_hard,1,660000,482.8,1.7039886021614075
34,DrQ-v2,reacher_hard,1,680000,481.6,1.7563358377085792
35,DrQ-v2,reacher_hard,1,700000,489.3,1.8087237942218781
36,DrQ-v2,reacher_hard,1,720000,578.8,1.8610538012451598
37,DrQ-v2,reacher_hard,1,740000,196.5,1.913739112549358
38,DrQ-v2,reacher_hard,1,760000,483.6,1.9658997650941212
39,DrQ-v2,reacher_hard,1,780000,386.3,2.0182375711202623
40,DrQ-v2,reacher_hard,1,800000,680.8,2.0700503487057156
41,DrQ-v2,reacher_hard,1,820000,561.3,2.1221170094278126
42,DrQ-v2,reacher_hard,1,840000,654.7,2.174485282500585
43,DrQ-v2,reacher_hard,1,860000,490.5,2.226896450387107
44,DrQ-v2,reacher_hard,1,880000,681.4,2.2793496851126354
45,DrQ-v2,reacher_hard,1,900000,758.1,2.331454828315311
46,DrQ-v2,reacher_hard,1,920000,772.1,2.384012845224804
47,DrQ-v2,reacher_hard,1,940000,680.9,2.43605689936214
48,DrQ-v2,reacher_hard,1,960000,779.4,2.4885203714503183
49,DrQ-v2,reacher_hard,1,980000,488.0,2.5408690802256264
50,DrQ-v2,reacher_hard,1,1000000,843.6,2.593210534850757
51,DrQ-v2,reacher_hard,1,1020000,869.9,2.6454545520411603
52,DrQ-v2,reacher_hard,1,1040000,741.2,2.6976886076397366
53,DrQ-v2,reacher_hard,1,1060000,576.8,2.7497531419330175
54,DrQ-v2,reacher_hard,1,1080000,783.3,2.802067672411601
55,DrQ-v2,reacher_hard,1,1100000,832.6,2.8541181994809044
56,DrQ-v2,reacher_hard,1,1120000,879.3,2.906188745896021
57,DrQ-v2,reacher_hard,1,1140000,673.1,2.958684598935975
58,DrQ-v2,reacher_hard,1,1160000,713.7,3.010882210731507
59,DrQ-v2,reacher_hard,1,1180000,772.3,3.0627929713990953
60,DrQ-v2,reacher_hard,1,1200000,878.0,3.114853928751416
61,DrQ-v2,reacher_hard,1,1220000,679.5,3.167035081982612
62,DrQ-v2,reacher_hard,1,1240000,778.2,3.2192722837792505
63,DrQ-v2,reacher_hard,1,1260000,872.8,3.27158368104034
64,DrQ-v2,reacher_hard,1,1280000,840.5,3.323607257472144
65,DrQ-v2,reacher_hard,1,1300000,555.3,3.3756677720281814
